B_T,Delta_inter_min_MHz
0.923,1.1156221399160264
0.9239999999999999,1.120419582341225
0.925,1.1252170247664255
0.9259999999999999,1.1300144671916241
0.927,1.1348119096168237
0.9279999999999999,1.1396093520420232
0.929,1.1444067944672227
0.9299999999999999,1.1492042368924213
0.931,1.1540016793176218
0.9319999999999999,1.1587991217428204
0.933,1.1635965641680208
0.9339999999999999,1.1683940065932195
0.935,1.1731914490184199
0.9359999999999999,1.1779888914436185
0.937,1.182786333868818
0.938,1.1875837762940176
0.9390000000000001,1.192381218719217
0.94,1.1971786611444157
0.9410000000000001,1.2019761035696161
0.942,1.2067735459948148
0.9430000000000001,1.2115709884200152
0.944,1.2163684308452138
0.9450000000000001,1.2211658732704134
0.946,1.225963315695613
0.9470000000000001,1.2307607581208124
0.948,1.235558200546012
0.9490000000000001,1.2403556429712115
0.95,1.2451530853964101
0.9510000000000001,1.2499505278216105
0.952,1.2547479702468092
0.9530000000000001,1.2595454126720096
0.954,1.2643428550972082
0.9550000000000001,1.2691402975224078
0.956,1.2739377399476073
0.9570000000000001,1.2787351823728068
0.958,1.2835326247980055
0.9590000000000001,1.2883300672232059
0.96,1.2931275096484045
0.9610000000000001,1.297924952073605
0.962,1.3027223944988036
0.9630000000000001,1.307519836924004
0.964,1.3123172793492026
0.9650000000000001,1.3171147217744021
0.966,1.3219121641996017
0.9670000000000001,1.3267096066248012
0.968,1.3315070490499998
0.9690000000000001,1.3363044914752003
0.97,1.341101933900399
0.9710000000000001,1.3458993763255993
0.972,1.350696818750798
0.9730000000000001,1.3554942611759975
0.974,1.360291703601197
0.9750000000000001,1.3650891460263965
0.976,1.369886588451596
0.9770000000000001,1.3746840308767956
0.978,1.3794814733019942
0.9790000000000001,1.3842789157271946
0.98,1.3890763581523933
0.9810000000000001,1.3938738005775937
0.982,1.3986712430027923
0.9830000000000001,1.4034686854279919
0.984,1.4082661278531914
0.9850000000000001,1.413063570278391
0.986,1.4178610127035896
