label,kappa_abs_MHz,B_T,delta_inter_min_leading_MHz
3MHz_ceiling_target,84.0,0.7060000000000001,2.6130025726372836
3MHz_ceiling_target,84.0,0.7080000000000001,2.6034076790753495
3MHz_ceiling_target,84.0,0.7100000000000001,2.5938127855134154
3MHz_ceiling_target,84.0,0.7120000000000001,2.5842178919514813
3MHz_ceiling_target,84.0,0.7140000000000001,2.5746229983895477
3MHz_ceiling_target,84.0,0.7160000000000001,2.5650281048276136
3MHz_ceiling_target,84.0,0.7180000000000001,2.5554332112656795
3MHz_ceiling_target,84.0,0.7200000000000001,2.5458383177037454
3MHz_ceiling_target,84.0,0.7220000000000001,2.5362434241418113
3MHz_ceiling_target,84.0,0.7240000000000001,2.526648530579877
3MHz_ceiling_target,84.0,0.7260000000000001,2.517053637017943
3MHz_ceiling_target,84.0,0.7280000000000001,2.507458743456009
3MHz_ceiling_target,84.0,0.7300000000000001,2.4978638498940753
3MHz_ceiling_target,84.0,0.7320000000000001,2.488268956332141
3MHz_ceiling_target,84.0,0.7340000000000001,2.478674062770207
3MHz_ceiling_target,84.0,0.7360000000000001,2.469079169208273
3MHz_ceiling_target,84.0,0.7380000000000001,2.459484275646339
3MHz_ceiling_target,84.0,0.7400000000000001,2.4498893820844048
3MHz_ceiling_target,84.0,0.7420000000000001,2.4402944885224707
3MHz_ceiling_target,84.0,0.7440000000000001,2.4306995949605366
3MHz_ceiling_target,84.0,0.7460000000000001,2.421104701398603
3MHz_ceiling_target,84.0,0.7480000000000001,2.411509807836669
3MHz_ceiling_target,84.0,0.7500000000000001,2.4019149142747347
3MHz_ceiling_target,84.0,0.7520000000000001,2.3923200207128006
3MHz_ceiling_target,84.0,0.7540000000000001,2.3827251271508665
3MHz_ceiling_target,84.0,0.7560000000000001,2.3731302335889324
3MHz_ceiling_target,84.0,0.7580000000000001,2.3635353400269983
3MHz_ceiling_target,84.0,0.7600000000000001,2.353940446465064
3MHz_ceiling_target,84.0,0.7620000000000001,2.3443455529031305
3MHz_ceiling_target,84.0,0.7640000000000001,2.3347506593411964
3MHz_ceiling_target,84.0,0.7660000000000001,2.3251557657792623
3MHz_ceiling_target,84.0,0.7680000000000001,2.315560872217328
3MHz_ceiling_target,84.0,0.7700000000000001,2.305965978655394
3MHz_ceiling_target,84.0,0.7720000000000001,2.29637108509346
3MHz_ceiling_target,84.0,0.7740000000000001,2.286776191531526
3MHz_ceiling_target,84.0,0.7760000000000001,2.277181297969592
3MHz_ceiling_target,84.0,0.7780000000000001,2.267586404407658
3MHz_ceiling_target,84.0,0.7800000000000001,2.257991510845724
3MHz_ceiling_target,84.0,0.7820000000000001,2.24839661728379
3MHz_ceiling_target,84.0,0.7840000000000001,2.238801723721856
3MHz_ceiling_target,84.0,0.7860000000000001,2.2292068301599217
3MHz_ceiling_target,84.0,0.7880000000000001,2.2196119365979876
3MHz_ceiling_target,84.0,0.7900000000000001,2.2100170430360535
3MHz_ceiling_target,84.0,0.7920000000000001,2.2004221494741194
3MHz_ceiling_target,84.0,0.7940000000000002,2.1908272559121857
3MHz_ceiling_target,84.0,0.7960000000000002,2.1812323623502516
3MHz_ceiling_target,84.0,0.7980000000000002,2.1716374687883175
3MHz_ceiling_target,84.0,0.8000000000000002,2.1620425752263834
3MHz_ceiling_target,84.0,0.8020000000000002,2.1524476816644493
3MHz_ceiling_target,84.0,0.8040000000000002,2.1428527881025152
3MHz_ceiling_target,84.0,0.8060000000000002,2.133257894540581
3MHz_ceiling_target,84.0,0.8080000000000002,2.123663000978647
